epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,30.6399,0.61763,0.56462,1.01476,0.91005,0.38974,0.42761,0.28053,1.76502,2.40463,1.48339,2.11444e-05,2.11444e-05,2.11444e-05
80,30.9907,0.96003,1.03014,1.36828,0.91005,0.38974,0.42761,0.28053,1.76502,2.40463,1.48339,2.04848e-05,2.04848e-05,2.04848e-05
81,31.3845,0.63581,0.64388,1.08079,0.91378,0.38827,0.42618,0.2949,1.78971,2.43475,1.49239,1.98016e-05,1.98016e-05,1.98016e-05
82,31.761,0.61106,0.71975,1.06949,0.91378,0.38827,0.42618,0.2949,1.78971,2.43475,1.49239,1.90949e-05,1.90949e-05,1.90949e-05
83,32.1244,0.72006,0.71619,1.11965,0.91378,0.38827,0.42618,0.2949,1.78971,2.43475,1.49239,1.83646e-05,1.83646e-05,1.83646e-05
84,32.5394,0.51717,0.54594,1.02611,0.96151,0.36263,0.42864,0.27949,1.79056,2.42373,1.4886,1.76107e-05,1.76107e-05,1.76107e-05
85,32.9346,0.60648,0.5598,1.0522,0.96151,0.36263,0.42864,0.27949,1.79056,2.42373,1.4886,1.68333e-05,1.68333e-05,1.68333e-05
86,33.2962,1.13716,1.41046,1.46366,0.96151,0.36263,0.42864,0.27949,1.79056,2.42373,1.4886,1.60323e-05,1.60323e-05,1.60323e-05
87,33.6584,0.81038,0.93397,1.17976,0.96151,0.36263,0.42864,0.27949,1.79056,2.42373,1.4886,1.52077e-05,1.52077e-05,1.52077e-05
88,34.0653,0.5637,0.55788,1.01045,0.9244,0.38176,0.42972,0.28785,1.7965,2.43312,1.48864,1.43596e-05,1.43596e-05,1.43596e-05
89,34.4306,0.8492,1.05359,1.20775,0.9244,0.38176,0.42972,0.28785,1.7965,2.43312,1.48864,1.34879e-05,1.34879e-05,1.34879e-05
90,34.783,0.64142,0.74326,1.13596,0.9244,0.38176,0.42972,0.28785,1.7965,2.43312,1.48864,1.25927e-05,1.25927e-05,1.25927e-05
91,35.1757,0.72059,0.71424,1.22048,0.9244,0.38176,0.42972,0.28785,1.7965,2.43312,1.48864,1.16739e-05,1.16739e-05,1.16739e-05
92,35.5918,0.51597,0.57516,0.91115,0.92569,0.38187,0.43081,0.30465,1.79758,2.44102,1.48992,1.07315e-05,1.07315e-05,1.07315e-05
93,35.9741,0.55527,0.53634,1.05773,0.92569,0.38187,0.43081,0.30465,1.79758,2.44102,1.48992,9.76562e-06,9.76562e-06,9.76562e-06
94,36.3189,0.70429,0.76084,1.17352,0.92569,0.38187,0.43081,0.30465,1.79758,2.44102,1.48992,8.77613e-06,8.77613e-06,8.77613e-06
95,36.6904,0.75369,0.64695,1.34987,0.92569,0.38187,0.43081,0.30465,1.79758,2.44102,1.48992,7.76308e-06,7.76308e-06,7.76308e-06
96,37.0929,0.57779,0.60296,1.09173,0.92191,0.3815,0.4317,0.2969,1.81876,2.52609,1.52546,6.72648e-06,6.72648e-06,6.72648e-06
97,37.4498,0.51105,0.48702,0.99251,0.92191,0.3815,0.4317,0.2969,1.81876,2.52609,1.52546,5.6663e-06,5.6663e-06,5.6663e-06
98,37.8066,0.75055,0.70632,1.3544,0.92191,0.3815,0.4317,0.2969,1.81876,2.52609,1.52546,4.58257e-06,4.58257e-06,4.58257e-06
99,38.163,0.58497,0.57925,0.90633,0.92191,0.3815,0.4317,0.2969,1.81876,2.52609,1.52546,3.47528e-06,3.47528e-06,3.47528e-06
100,38.5891,0.42854,0.49083,0.95066,0.95508,0.36765,0.43171,0.2993,1.82021,2.58911,1.53121,2.34442e-06,2.34442e-06,2.34442e-06
